areaCode_x,areaName,cumCasesByPublishDate,cumDeaths28DaysByPublishDate,cumPeopleVaccinatedFirstDoseByPublishDate,cumPeopleVaccinatedSecondDoseByPublishDate,cumPeopleVaccinatedThirdInjectionByPublishDate,Median age,People per sq. km,Asian%,"Black, African, Caribbean%",Mixed%,White%,Other%,Region code_x,% of key workers,% of the economically active population aged 16+ who are unemployed,% of all people aged 16-64 who are employees,% of all people aged 16-64 who are self-employed,Region name,% of households with at least 1 early-years or school age child,Average Deprivation Score 
E09000002,Barking and Dagenham,65671,557,133560,120499,70208,32.5,"5,898",15.9,20,4.2,58.3,1.6,E12000007,33.1,6.5,57.5,10.1,London,36.3,32.8
E09000005,Brent,95364,846,245706,224556,147887,35.7,"7,628",34.1,18.8,5.1,36.3,5.8,E12000007,35.9,4.3,53.9,15.5,London,22.7,25.6
E09000011,Greenwich,82882,532,199008,183721,130372,35,"6,086",11.7,19.1,4.8,62.5,1.9,E12000007,32.8,5,63.2,12.5,London,30.4,24.5
E09000030,Tower Hamlets,98604,476,236985,213579,136073,31.6,"16,427",41.1,7.3,4.1,45.2,2.3,E12000007,27.5,5.4,60.5,9.9,London,23.5,27.9
E06000010,"Kingston upon Hull, City of",82219,795,190723,176408,130917,35.8,"3,629",2.5,1.2,1.3,94.1,0.8,E12000003,35.8,7.1,68,7.1,Yorkshire and The Humber,21.4,40.6
E06000017,Rutland,10365,81,34289,32587,26979,47.6,105,1,0.7,1,97.1,0.2,E12000004,24.3,2.8,59.2,13.1,East Midlands,17.1,8.4
E06000046,Isle of Wight,34510,352,113415,108210,90377,50.6,373,1.1,0.2,1.2,97.3,0.1,E12000008,35.5,4,61.3,11.8,South East,16.8,23.3
E06000052,Cornwall and Isles of Scilly,132237,710,462774,440531,365306,47.6,161,0.6,0.1,0.8,98.2,0.2,E12000009,,3.4,59.6,16.4,South West,18.9,23.1
E08000010,Wigan,108083,1208,248961,234035,177488,42.1,"1,747",1.1,0.5,0.9,97.3,0.2,E12000002,32.6,3.5,66.2,10.8,North West,22.8,25.7
E09000006,Bromley,98686,725,249960,237694,191496,40.9,"2,214",5.2,6,3.5,84.3,0.9,E12000007,33.8,3.3,65.3,11.6,London,28.2,14.2
E09000015,Harrow,75015,610,190739,178346,133466,38.3,"4,977",42.6,8.2,4,42.2,2.9,E12000007,31.4,4.4,57,12.8,London,29.6,15
E09000023,Lewisham,87758,654,203811,188841,134751,35.2,"8,702",9.3,27.2,7.4,53.5,2.6,E12000007,33.7,4.3,69.6,12.4,London,24.4,26.7
E06000009,Blackpool,44951,578,108114,100534,77500,43.4,"3,999",1.6,0.2,1.2,96.7,0.2,E12000002,32.1,6.3,64.9,9.2,North West,21.7,45
E06000022,Bath and North East Somerset,53103,291,154981,146820,121870,38.2,559,2.6,0.8,1.6,94.6,0.4,E12000009,33.5,3.1,67.5,12.1,South West,20.8,11.7
E06000032,Luton,70619,665,147905,134647,84456,34.6,"4,914",30,9.8,4.1,54.7,1.5,E12000006,31.6,4.3,61.3,9.6,East  ,31.2,25.9
E06000044,Portsmouth,63554,450,162493,152166,116411,34.1,"5,321",6.1,1.8,2.7,88.4,1.1,E12000008,30.6,4,64.2,8.3,South East,21.6,26.9
E06000055,Bedford,57806,605,135928,128280,97244,40.5,364,11.4,3.9,3.4,80.5,0.7,E12000006,32.6,3.6,75.5,9.3,East  ,21.5,18.9
E08000012,Liverpool,162512,1541,347329,320154,228663,34.8,"4,453",4.2,2.6,2.5,88.9,1.8,E12000002,30.4,4.4,62.7,6.2,North West,20,42.4
E09000004,Bexley,75090,675,178737,168142,126503,38.9,"4,099",6.6,8.5,2.3,81.9,0.8,E12000007,29,4.4,68,9.4,London,27.1,16.3
E09000028,Southwark,94023,451,232865,213777,153818,33.6,"11,045",9.4,26.9,6.2,54.2,3.3,E12000007,31.4,4.3,66,12.6,London,23.3,25.8
E09000031,Waltham Forest,83613,599,184148,170897,114875,35.2,"7,137",21.1,17.3,5.3,52.2,4.1,E12000007,31.9,5.4,58.5,12.4,London,25.9,25.2
E06000006,Halton,44918,345,96639,90856,69433,40.9,"1,636",0.7,0.2,1.1,97.8,0.1,E12000002,30,3.7,68.3,5.3,North West,23.5,32.3
E06000031,Peterborough,68479,435,148280,137365,100611,36.7,589,11.7,2.3,2.7,82.5,0.8,E12000006,32.9,4.9,66.6,8.2,East  ,26.4,27.8
E06000034,Thurrock,58104,530,117285,109127,75596,36.9,"1,064",3.8,7.8,2,85.9,0.6,E12000006,29.2,4.1,65.2,10.3,East  ,29.9,20.9
E06000043,Brighton and Hove,86165,464,222074,208162,159728,35.3,"3,512",4.1,1.5,3.8,89.1,1.5,E12000008,31.3,4.1,62.7,12.3,South East,18.6,20.8
E08000005,Rochdale,72402,826,160136,148278,104550,38.1,"1,407",14.9,1.3,1.7,81.7,0.4,E12000002,34.4,5.6,58.8,10.8,North West,29.7,34.4
E08000008,Tameside,74825,835,172872,161218,119411,40.1,"2,196",6.6,0.8,1.4,90.9,0.2,E12000002,34.5,4.2,63.6,10,North West,21.7,31.4
E09000009,Ealing,110496,776,272898,252169,170581,37.1,"6,154",29.7,10.9,4.5,49,6,E12000007,30.8,5.7,61.4,13.4,London,26.3,22.7
E06000007,Warrington,69805,584,165181,156834,124936,42.3,"1,163",2.4,0.3,1.1,95.9,0.2,E12000002,31.1,3.2,70.3,11.1,North West,26.9,18.9
E06000020,Telford and Wrekin,56812,346,138074,129768,99984,39.5,620,4.2,1.1,1.8,92.7,0.3,E12000005,30,3.8,65.8,7.9,West Midlands,20.7,25
E06000035,Medway,85743,876,204726,191977,146905,38.2,"1,438",5.2,2.5,2,89.6,0.7,E12000008,30.2,4.2,64.3,9.3,South East,21.1,23.9
E08000013,St. Helens,61211,605,140802,132774,103907,43,"1,324",1,0.1,0.7,98,0.1,E12000002,33.5,3.6,68.5,5.8,North West,20.4,31.5
E09000010,Enfield,90272,709,217440,202228,140296,36.4,"4,130",11.2,17.2,5.5,61,5.1,E12000007,32.2,5.9,56.2,14.5,London,32.4,25.8
E09000021,Kingston upon Thames,54107,369,132027,123887,97633,37.4,"4,764",16.3,2.5,3.9,74.5,2.7,E12000007,30.4,3.2,64.2,12.3,London,28.5,11.4
E06000018,Nottingham,102351,846,225975,206706,140457,29.7,"4,462",13.1,7.3,6.6,71.5,1.5,E12000004,34.8,6.9,60,7.6,East Midlands,22.4,34.9
E06000041,Wokingham,52144,276,142283,136409,112568,41.6,956,7.4,1.4,2.1,88.4,0.7,E12000008,34.5,2.3,67.6,9.3,South East,25.6,5.8
E06000042,Milton Keynes,88777,576,210109,196118,148031,38,873,9.2,6.9,3.3,80,0.6,E12000008,28.9,3.9,71.4,8.2,South East,25.5,18
E06000047,County Durham,165226,1674,420267,396581,319889,43.4,238,0.9,0.1,0.6,98.2,0.2,E12000001,33.1,5.2,62.3,9.6,North East,21.7,26.8
E08000004,Oldham,74898,814,167430,154915,108135,37.1,"1,666",19.2,1.2,1.8,77.5,0.2,E12000002,32.8,5,63.3,9,North West,24.9,33.2
E09000025,Newham,101162,756,243569,219231,129085,32.3,"9,756",43.5,19.6,4.5,29,3.5,E12000007,25.6,5.1,60.7,12.1,London,27.8,29.6
E06000011,East Riding of Yorkshire,93828,953,284308,272321,229556,49.2,142,0.9,0.2,0.7,98.1,0.2,E12000003,35.8,3.2,66.3,11.2,Yorkshire and The Humber,19.7,15.6
E06000036,Bracknell Forest,37718,198,97172,92333,73959,39.3,"1,120",5,1.9,2,90.6,0.4,E12000008,28.6,2.5,72,10.4,South East,23.1,10.2
E06000037,West Berkshire,42798,232,130699,125329,104414,43.5,225,2.5,0.9,1.6,94.8,0.2,E12000008,26.8,2.4,72.3,10.2,South East,23.6,10
E08000035,Leeds,252359,1754,602633,563371,431403,35.3,"1,438",7.8,3.4,2.6,85.1,1.1,E12000003,32.5,4.2,70.5,9.9,Yorkshire and The Humber,22.8,27.3
E09000017,Hillingdon,93234,724,226893,210652,150106,36.3,"2,652",25.3,7.3,3.8,60.6,3,E12000007,35.1,4.7,66.8,8.7,London,32,18.2
E07000040,East Devon,35935,251,125365,120461,104629,51.2,180,0.7,0.1,0.7,98.4,0.1,E12000009,39.4,2.3,65.3,16.8,South West,26.6,12.8
E07000090,Havant,34350,359,99981,95425,79532,45.9,"2,264",1.2,0.3,1.3,97.1,0.2,E12000008,40.1,3.6,60.2,13.2,South East,17.6,21.8
E07000214,Surrey Heath,27807,243,73739,70032,59460,43.9,939,6.3,1,1.9,90.2,0.7,E12000008,42.6,2.6,78.4,5,South East,33.7,8.1
E07000229,Worthing,30873,229,89359,85014,71187,45.2,"3,400",3.2,0.8,1.8,93.8,0.4,E12000008,35.8,3.1,69,13,South East,26.8,17
E07000067,Braintree,44068,443,119068,113762,92411,43.6,249,1.4,0.6,1.2,96.6,0.2,E12000006,29.4,2.7,75.4,10.7,East  ,24,14.7
E07000094,Winchester,34548,205,106504,101641,85827,43.7,189,2.3,0.4,1.4,95.7,0.3,E12000008,28.1,2.7,60.6,11.5,South East,27.6,9.6
E07000125,Rossendale,22782,203,52756,49478,37668,42.5,518,5,0.2,0.9,93.8,0.1,E12000002,26.3,3.3,73.4,10.2,North West,20.1,24.1
E07000155,South Northamptonshire,26963,162,79757,76645,64996,45.1,149,1.3,0.4,1.2,96.9,0.1,E12000004,27.3,2.3,71.4,12.1,East Midlands,26.8,7.7
E07000169,Selby,26514,140,74350,71151,59872,44.5,151,0.6,0.3,0.8,98.4,0,E12000003,28.6,3,60.9,14.4,Yorkshire and The Humber,28.9,12.7
E07000187,Mendip,28632,219,93344,88777,73355,47,156,0.9,0.2,0.9,98,0.1,E12000009,37.6,3.3,69.2,10,South West,20,16.6
E07000203,Mid Suffolk,24470,226,86864,83645,71894,47.8,119,0.7,0.4,1,97.9,0.1,E12000006,32.3,2.1,64.1,15.8,East  ,20.4,13.2
E07000234,Bromsgrove,30269,310,80516,77024,64343,45.5,460,2.1,0.5,1.5,95.8,0.2,E12000005,38.7,3.1,70.6,7.3,West Midlands,24.1,11.7
E07000010,Fenland,27565,265,80011,76080,62095,45,186,1.1,0.5,0.9,97.2,0.2,E12000006,24.2,3.3,58.3,10,East  ,15.9,25.4
E07000031,South Lakeland,24760,281,87293,84077,71486,51.3,68,0.8,0.2,0.6,98.4,0.1,E12000002,26.4,1.8,55.5,23.5,North West,23.1,12.5
E07000079,Cotswold,20267,154,76940,73817,64646,49.1,77,1,0.3,0.8,97.8,0.1,E12000009,34.1,2.5,62.5,15.4,South West,19.6,11.1
E07000096,Dacorum,46359,403,119397,113592,90551,40.7,728,4.7,2.1,2.1,90.8,0.3,E12000006,25.4,2.4,64.6,12.6,East  ,32.8,13
E07000099,North Hertfordshire,37936,327,106001,101577,83903,42.2,356,5.4,2,2.7,89.5,0.5,E12000006,35.3,2.8,75.9,8.8,East  ,28.5,11.6
E07000145,Great Yarmouth,27696,321,78859,74420,59905,45.9,570,1.2,0.5,1.2,96.9,0.3,E12000006,43.6,4.9,57.3,10,East  ,20.3,33.1
E07000189,South Somerset,41135,244,141096,134773,113531,47.7,176,0.9,0.2,0.7,98.1,0.1,E12000009,36.3,2.7,67.5,10.2,South West,23.8,17.3
E07000235,Malvern Hills,17246,158,66837,64195,55696,50.8,136,1.2,0.2,0.9,97.6,0.1,E12000005,32.2,2.5,61.9,13.1,West Midlands,8.2,16.1
E07000026,Allerdale,27988,320,80021,77012,63737,48.3,79,0.5,0.1,0.4,98.9,0.1,E12000002,37.4,2.6,67.9,14.3,North West,21.4,22.9
E07000032,Amber Valley,36156,392,102482,98727,82038,46.1,483,0.8,0.2,0.8,98.1,0.1,E12000004,32.2,2.8,72.1,7.4,East Midlands,11.4,18
E07000069,Castle Point,28076,417,71278,68008,53989,46.9,"2,023",1.1,0.8,1,96.9,0.2,E12000006,34.6,2.7,68.2,10.5,East  ,19.4,16.8
E07000119,Fylde,23337,312,67497,64524,54533,50.5,488,1.1,0.2,1,97.5,0.2,E12000002,26.6,2.4,73,6.4,North West,18.8,15.9
E07000140,South Holland,24650,255,72814,69587,56682,46.4,127,0.8,0.3,0.9,97.8,0.1,E12000004,42.1,3.8,64.2,9.7,East Midlands,17.5,17.9
E07000168,Scarborough,27415,268,88970,84533,72041,50.1,133,1.3,0.2,0.8,97.5,0.2,E12000003,41,3.6,68.5,8.9,Yorkshire and The Humber,26.7,26.3
E07000212,Runnymede,26023,179,67257,63601,51303,37.7,"1,146",6.9,1.1,2.1,89,1,E12000008,28.7,2.3,60.2,16,South East,23.7,12
E07000072,Epping Forest,40380,438,99655,94775,73654,42.7,388,4.8,1.9,2.1,90.5,0.7,E12000006,24,2.9,60.6,18,East  ,27.5,15.1
E07000074,Maldon,17687,166,54155,51912,43349,49.2,181,0.8,0.2,0.8,98.1,0.1,E12000006,22.1,2.7,56.7,21.6,East  ,30,14.2
E07000088,Gosport,23315,195,64914,61564,51083,42.7,"3,344",1.3,0.7,1.3,96.4,0.2,E12000008,32.2,3.5,62.5,7,South East,18.7,20.5
E07000095,Broxbourne,29898,247,71371,67501,50678,40.2,"1,891",2.3,4.2,2.3,90.3,0.8,E12000006,30.5,3.4,67.1,14.9,East  ,25.3,18
E07000154,Northampton,73880,598,165615,154729,115795,37.6,"2,781",6.5,5.1,3.2,84.5,0.7,E12000004,30.9,5,67.2,9.7,East Midlands,25.8,23.4
E07000221,Stratford-on-Avon,35397,288,113874,109380,94515,48.2,133,1.2,0.2,1,97.4,0.2,E12000005,26.4,2.2,68.7,13.3,West Midlands,18.8,11.7
E07000238,Wychavon,33391,295,109349,105269,90032,48.2,195,1,0.2,0.8,97.9,0.1,E12000005,38.9,2.8,66.6,12.3,West Midlands,19.2,15.8
E07000239,Wyre Forest,27600,291,81650,78193,65875,46.8,518,1.4,0.2,1,97.2,0.1,E12000005,33.1,3.6,71.1,9.7,West Midlands,17.7,22.4
E07000240,St Albans,46749,363,118873,113344,93463,41.1,921,6.4,1.7,2.8,88.4,0.7,E12000006,29.9,2.7,68.3,9.5,East  ,25.7,8.3
E07000012,South Cambridgeshire,44986,207,133208,127654,107882,43.1,176,3.7,0.9,1.7,93.3,0.4,E12000006,27.5,1.8,68,9.1,East  ,24.8,8.5
E07000034,Chesterfield,30230,272,82987,79301,64458,44.6,"1,589",1.5,0.8,1.1,96.5,0.1,E12000004,38.9,5.5,63.5,9.3,East Midlands,24.9,24.9
E07000035,Derbyshire Dales,17304,202,61283,59226,51451,51.1,91,0.6,0.1,0.7,98.6,0.1,E12000004,29.5,2.5,51.6,23.1,East Midlands,22.9,11.9
E07000080,Forest of Dean,20967,144,71628,68375,57856,48.2,165,0.6,0.2,0.6,98.5,0.1,E12000009,34.4,3.1,70,8,South West,19.3,18
