Local Authority,Cumulative Cases,Deaths (cum.),First dose (cum.),Second dose (cum.),Third dose (cum.),Median age,People per sq. km,Asian%,"Black, African, Caribbean%",Mixed%,White%,Other%,% of key workers,Unemployed (%),Employees (%),Self-employed (%),Region name,"Households, 1+ child (%)",Deprivation Score
Derby,78256.0,802.0,190537.0,179123.0,133538.0,37.0,3297.0,12.5,2.9,2.9,80.3,1.3,32.3,4.8,68.5,7.4,East Midlands,22.9,26.3
Derby,78256.0,802.0,190537.0,179123.0,133538.0,37.0,3297.0,12.5,2.9,2.9,80.3,1.3,32.3,4.8,68.5,7.4,East Midlands,22.9,26.3
Reading,52014.0,333.0,128979.0,120956.0,89747.0,34.8,4005.0,13.6,6.7,4.0,74.8,1.0,30.2,3.6,72.4,9.4,South East,24.5,19.6
Reading,52014.0,333.0,128979.0,120956.0,89747.0,34.8,4005.0,13.6,6.7,4.0,74.8,1.0,30.2,3.6,72.4,9.4,South East,24.5,19.6
Reading,52014.0,333.0,128979.0,120956.0,89747.0,34.8,4005.0,13.6,6.7,4.0,74.8,1.0,30.2,3.6,72.4,9.4,South East,24.5,19.6
Reading,52014.0,333.0,128979.0,120956.0,89747.0,34.8,4005.0,13.6,6.7,4.0,74.8,1.0,30.2,3.6,72.4,9.4,South East,24.5,19.6
Bury,61459.0,704.0,144515.0,135329.0,101680.0,40.3,1920.0,7.2,1.0,1.8,89.2,0.7,31.0,4.6,64.4,10.4,North West,22.8,23.7
Bury,61459.0,704.0,144515.0,135329.0,101680.0,40.3,1920.0,7.2,1.0,1.8,89.2,0.7,31.0,4.6,64.4,10.4,North West,22.8,23.7
Bury,61459.0,704.0,144515.0,135329.0,101680.0,40.3,1920.0,7.2,1.0,1.8,89.2,0.7,31.0,4.6,64.4,10.4,North West,22.8,23.7
Bury,61459.0,704.0,144515.0,135329.0,101680.0,40.3,1920.0,7.2,1.0,1.8,89.2,0.7,31.0,4.6,64.4,10.4,North West,22.8,23.7
Wirral,101390.0,998.0,249245.0,235422.0,187216.0,44.4,2013.0,1.6,0.2,1.0,97.0,0.2,38.9,3.5,66.2,7.3,North West,22.8,29.6
Wirral,101390.0,998.0,249245.0,235422.0,187216.0,44.4,2013.0,1.6,0.2,1.0,97.0,0.2,38.9,3.5,66.2,7.3,North West,22.8,29.6
Wirral,101390.0,998.0,249245.0,235422.0,187216.0,44.4,2013.0,1.6,0.2,1.0,97.0,0.2,38.9,3.5,66.2,7.3,North West,22.8,29.6
Wirral,101390.0,998.0,249245.0,235422.0,187216.0,44.4,2013.0,1.6,0.2,1.0,97.0,0.2,38.9,3.5,66.2,7.3,North West,22.8,29.6
Haringey,77005.0,480.0,186690.0,173218.0,119222.0,35.8,9076.0,9.5,18.8,6.5,60.5,4.7,23.2,4.3,60.5,16.0,London,25.1,28.0
Haringey,77005.0,480.0,186690.0,173218.0,119222.0,35.8,9076.0,9.5,18.8,6.5,60.5,4.7,23.2,4.3,60.5,16.0,London,25.1,28.0
Haringey,77005.0,480.0,186690.0,173218.0,119222.0,35.8,9076.0,9.5,18.8,6.5,60.5,4.7,23.2,4.3,60.5,16.0,London,25.1,28.0
Haringey,77005.0,480.0,186690.0,173218.0,119222.0,35.8,9076.0,9.5,18.8,6.5,60.5,4.7,23.2,4.3,60.5,16.0,London,25.1,28.0
Richmond upon Thames,60069.0,352.0,155458.0,147393.0,120422.0,41.1,3450.0,7.3,1.5,3.6,86.0,1.6,26.3,2.8,66.6,14.6,London,30.0,9.4
Richmond upon Thames,60069.0,352.0,155458.0,147393.0,120422.0,41.1,3450.0,7.3,1.5,3.6,86.0,1.6,26.3,2.8,66.6,14.6,London,30.0,9.4
Richmond upon Thames,60069.0,352.0,155458.0,147393.0,120422.0,41.1,3450.0,7.3,1.5,3.6,86.0,1.6,26.3,2.8,66.6,14.6,London,30.0,9.4
Richmond upon Thames,60069.0,352.0,155458.0,147393.0,120422.0,41.1,3450.0,7.3,1.5,3.6,86.0,1.6,26.3,2.8,66.6,14.6,London,30.0,9.4
Stoke-on-Trent,79851.0,877.0,191451.0,178744.0,135476.0,37.8,2743.0,7.4,1.5,1.8,88.6,0.7,35.2,5.1,67.6,6.9,West Midlands,21.7,34.5
Stoke-on-Trent,79851.0,877.0,191451.0,178744.0,135476.0,37.8,2743.0,7.4,1.5,1.8,88.6,0.7,35.2,5.1,67.6,6.9,West Midlands,21.7,34.5
Stoke-on-Trent,79851.0,877.0,191451.0,178744.0,135476.0,37.8,2743.0,7.4,1.5,1.8,88.6,0.7,35.2,5.1,67.6,6.9,West Midlands,21.7,34.5
Stoke-on-Trent,79851.0,877.0,191451.0,178744.0,135476.0,37.8,2743.0,7.4,1.5,1.8,88.6,0.7,35.2,5.1,67.6,6.9,West Midlands,21.7,34.5
Swindon,65221.0,367.0,179586.0,169577.0,134026.0,40.1,966.0,6.4,1.4,2.0,89.8,0.4,31.1,3.8,73.0,7.6,South West,25.0,18.6
Swindon,65221.0,367.0,179586.0,169577.0,134026.0,40.1,966.0,6.4,1.4,2.0,89.8,0.4,31.1,3.8,73.0,7.6,South West,25.0,18.6
Swindon,65221.0,367.0,179586.0,169577.0,134026.0,40.1,966.0,6.4,1.4,2.0,89.8,0.4,31.1,3.8,73.0,7.6,South West,25.0,18.6
Swindon,65221.0,367.0,179586.0,169577.0,134026.0,40.1,966.0,6.4,1.4,2.0,89.8,0.4,31.1,3.8,73.0,7.6,South West,25.0,18.6
Knowsley,55144.0,525.0,110290.0,102584.0,74889.0,39.5,1744.0,1.0,0.3,1.3,97.2,0.1,32.4,4.0,69.4,7.6,North West,22.0,43.0
Knowsley,55144.0,525.0,110290.0,102584.0,74889.0,39.5,1744.0,1.0,0.3,1.3,97.2,0.1,32.4,4.0,69.4,7.6,North West,22.0,43.0
Knowsley,55144.0,525.0,110290.0,102584.0,74889.0,39.5,1744.0,1.0,0.3,1.3,97.2,0.1,32.4,4.0,69.4,7.6,North West,22.0,43.0
Knowsley,55144.0,525.0,110290.0,102584.0,74889.0,39.5,1744.0,1.0,0.3,1.3,97.2,0.1,32.4,4.0,69.4,7.6,North West,22.0,43.0
Hackney and City of London,83556.0,547.0,192354.0,176828.0,118968.0,33.3,14758.0,10.5,23.1,6.4,54.7,5.3,29.9,4.6,56.7,12.7,London,25.3,32.5
Hackney and City of London,83556.0,547.0,192354.0,176828.0,118968.0,33.3,14758.0,10.5,23.1,6.4,54.7,5.3,29.9,4.6,56.7,12.7,London,25.3,32.5
Hackney and City of London,83556.0,547.0,192354.0,176828.0,118968.0,33.3,14758.0,10.5,23.1,6.4,54.7,5.3,29.9,4.6,56.7,12.7,London,25.3,32.5
Hackney and City of London,83556.0,547.0,192354.0,176828.0,118968.0,33.3,14758.0,10.5,23.1,6.4,54.7,5.3,29.9,4.6,56.7,12.7,London,25.3,32.5
Islington,67440.0,357.0,168531.0,154099.0,111582.0,31.9,16321.0,9.2,12.8,6.5,68.2,3.4,25.9,4.5,65.4,9.4,London,16.2,27.5
Islington,67440.0,357.0,168531.0,154099.0,111582.0,31.9,16321.0,9.2,12.8,6.5,68.2,3.4,25.9,4.5,65.4,9.4,London,16.2,27.5
Islington,67440.0,357.0,168531.0,154099.0,111582.0,31.9,16321.0,9.2,12.8,6.5,68.2,3.4,25.9,4.5,65.4,9.4,London,16.2,27.5
Islington,67440.0,357.0,168531.0,154099.0,111582.0,31.9,16321.0,9.2,12.8,6.5,68.2,3.4,25.9,4.5,65.4,9.4,London,16.2,27.5
Kensington and Chelsea,40801.0,274.0,115933.0,105211.0,75080.0,39.9,12876.0,10.0,6.5,5.7,70.6,7.2,31.1,4.6,60.4,12.2,London,17.8,21.5
Kensington and Chelsea,40801.0,274.0,115933.0,105211.0,75080.0,39.9,12876.0,10.0,6.5,5.7,70.6,7.2,31.1,4.6,60.4,12.2,London,17.8,21.5
Kensington and Chelsea,40801.0,274.0,115933.0,105211.0,75080.0,39.9,12876.0,10.0,6.5,5.7,70.6,7.2,31.1,4.6,60.4,12.2,London,17.8,21.5
Kensington and Chelsea,40801.0,274.0,115933.0,105211.0,75080.0,39.9,12876.0,10.0,6.5,5.7,70.6,7.2,31.1,4.6,60.4,12.2,London,17.8,21.5
Redbridge,94314.0,885.0,216348.0,199396.0,132051.0,35.8,5411.0,41.8,8.9,4.1,42.5,2.7,29.9,5.0,55.4,18.2,London,33.9,17.2
Redbridge,94314.0,885.0,216348.0,199396.0,132051.0,35.8,5411.0,41.8,8.9,4.1,42.5,2.7,29.9,5.0,55.4,18.2,London,33.9,17.2
Redbridge,94314.0,885.0,216348.0,199396.0,132051.0,35.8,5411.0,41.8,8.9,4.1,42.5,2.7,29.9,5.0,55.4,18.2,London,33.9,17.2
Redbridge,94314.0,885.0,216348.0,199396.0,132051.0,35.8,5411.0,41.8,8.9,4.1,42.5,2.7,29.9,5.0,55.4,18.2,London,33.9,17.2
Leicester,113877.0,999.0,257322.0,235874.0,159763.0,31.6,4830.0,37.1,6.2,3.5,50.5,2.6,31.5,5.5,65.7,8.3,East Midlands,26.5,30.9
Leicester,113877.0,999.0,257322.0,235874.0,159763.0,31.6,4830.0,37.1,6.2,3.5,50.5,2.6,31.5,5.5,65.7,8.3,East Midlands,26.5,30.9
Leicester,113877.0,999.0,257322.0,235874.0,159763.0,31.6,4830.0,37.1,6.2,3.5,50.5,2.6,31.5,5.5,65.7,8.3,East Midlands,26.5,30.9
Leicester,113877.0,999.0,257322.0,235874.0,159763.0,31.6,4830.0,37.1,6.2,3.5,50.5,2.6,31.5,5.5,65.7,8.3,East Midlands,26.5,30.9
North Somerset,59195.0,417.0,177210.0,169225.0,143716.0,46.0,575.0,1.2,0.3,1.0,97.3,0.2,30.1,3.2,68.7,12.2,South West,25.4,15.8
North Somerset,59195.0,417.0,177210.0,169225.0,143716.0,46.0,575.0,1.2,0.3,1.0,97.3,0.2,30.1,3.2,68.7,12.2,South West,25.4,15.8
North Somerset,59195.0,417.0,177210.0,169225.0,143716.0,46.0,575.0,1.2,0.3,1.0,97.3,0.2,30.1,3.2,68.7,12.2,South West,25.4,15.8
North Somerset,59195.0,417.0,177210.0,169225.0,143716.0,46.0,575.0,1.2,0.3,1.0,97.3,0.2,30.1,3.2,68.7,12.2,South West,25.4,15.8
Torbay,37501.0,251.0,110466.0,104665.0,84742.0,49.1,2167.0,1.0,0.2,1.1,97.5,0.2,31.3,4.5,64.0,8.6,South West,17.3,28.1
Torbay,37501.0,251.0,110466.0,104665.0,84742.0,49.1,2167.0,1.0,0.2,1.1,97.5,0.2,31.3,4.5,64.0,8.6,South West,17.3,28.1
Torbay,37501.0,251.0,110466.0,104665.0,84742.0,49.1,2167.0,1.0,0.2,1.1,97.5,0.2,31.3,4.5,64.0,8.6,South West,17.3,28.1
Torbay,37501.0,251.0,110466.0,104665.0,84742.0,49.1,2167.0,1.0,0.2,1.1,97.5,0.2,31.3,4.5,64.0,8.6,South West,17.3,28.1
Shropshire,84132.0,733.0,263908.0,252361.0,212262.0,47.8,101.0,1.0,0.2,0.7,98.0,0.1,35.6,2.8,64.4,13.8,West Midlands,20.4,17.2
Shropshire,84132.0,733.0,263908.0,252361.0,212262.0,47.8,101.0,1.0,0.2,0.7,98.0,0.1,35.6,2.8,64.4,13.8,West Midlands,20.4,17.2
Shropshire,84132.0,733.0,263908.0,252361.0,212262.0,47.8,101.0,1.0,0.2,0.7,98.0,0.1,35.6,2.8,64.4,13.8,West Midlands,20.4,17.2
Shropshire,84132.0,733.0,263908.0,252361.0,212262.0,47.8,101.0,1.0,0.2,0.7,98.0,0.1,35.6,2.8,64.4,13.8,West Midlands,20.4,17.2
Doncaster,98771.0,1063.0,234163.0,220200.0,172969.0,41.2,549.0,2.5,0.8,1.1,95.3,0.4,35.9,5.5,65.0,7.9,Yorkshire and The Humber,22.1,30.3
Doncaster,98771.0,1063.0,234163.0,220200.0,172969.0,41.2,549.0,2.5,0.8,1.1,95.3,0.4,35.9,5.5,65.0,7.9,Yorkshire and The Humber,22.1,30.3
Doncaster,98771.0,1063.0,234163.0,220200.0,172969.0,41.2,549.0,2.5,0.8,1.1,95.3,0.4,35.9,5.5,65.0,7.9,Yorkshire and The Humber,22.1,30.3
Doncaster,98771.0,1063.0,234163.0,220200.0,172969.0,41.2,549.0,2.5,0.8,1.1,95.3,0.4,35.9,5.5,65.0,7.9,Yorkshire and The Humber,22.1,30.3
Havering,83155.0,976.0,185928.0,175319.0,130840.0,39.2,2310.0,4.9,4.8,2.1,87.7,0.6,35.0,5.1,69.4,8.2,London,24.4,16.8
Havering,83155.0,976.0,185928.0,175319.0,130840.0,39.2,2310.0,4.9,4.8,2.1,87.7,0.6,35.0,5.1,69.4,8.2,London,24.4,16.8
Havering,83155.0,976.0,185928.0,175319.0,130840.0,39.2,2310.0,4.9,4.8,2.1,87.7,0.6,35.0,5.1,69.4,8.2,London,24.4,16.8
Havering,83155.0,976.0,185928.0,175319.0,130840.0,39.2,2310.0,4.9,4.8,2.1,87.7,0.6,35.0,5.1,69.4,8.2,London,24.4,16.8
North East Lincolnshire,47539.0,381.0,119299.0,112397.0,86581.0,42.6,828.0,1.3,0.3,0.7,97.4,0.3,37.5,5.4,66.7,7.9,Yorkshire and The Humber,20.1,31.3
North East Lincolnshire,47539.0,381.0,119299.0,112397.0,86581.0,42.6,828.0,1.3,0.3,0.7,97.4,0.3,37.5,5.4,66.7,7.9,Yorkshire and The Humber,20.1,31.3
North East Lincolnshire,47539.0,381.0,119299.0,112397.0,86581.0,42.6,828.0,1.3,0.3,0.7,97.4,0.3,37.5,5.4,66.7,7.9,Yorkshire and The Humber,20.1,31.3
North East Lincolnshire,47539.0,381.0,119299.0,112397.0,86581.0,42.6,828.0,1.3,0.3,0.7,97.4,0.3,37.5,5.4,66.7,7.9,Yorkshire and The Humber,20.1,31.3
Southend-on-Sea,55331.0,701.0,134720.0,126784.0,97374.0,41.8,4394.0,3.7,2.1,2.1,91.6,0.5,31.4,3.5,64.8,14.0,East  ,23.9,22.4
Southend-on-Sea,55331.0,701.0,134720.0,126784.0,97374.0,41.8,4394.0,3.7,2.1,2.1,91.6,0.5,31.4,3.5,64.8,14.0,East  ,23.9,22.4
Southend-on-Sea,55331.0,701.0,134720.0,126784.0,97374.0,41.8,4394.0,3.7,2.1,2.1,91.6,0.5,31.4,3.5,64.8,14.0,East  ,23.9,22.4
Southend-on-Sea,55331.0,701.0,134720.0,126784.0,97374.0,41.8,4394.0,3.7,2.1,2.1,91.6,0.5,31.4,3.5,64.8,14.0,East  ,23.9,22.4
Southampton,73279.0,432.0,184795.0,170890.0,127573.0,32.3,5062.0,8.4,2.1,2.4,85.9,1.1,31.3,4.1,64.7,9.2,South East,22.4,26.9
Southampton,73279.0,432.0,184795.0,170890.0,127573.0,32.3,5062.0,8.4,2.1,2.4,85.9,1.1,31.3,4.1,64.7,9.2,South East,22.4,26.9
Southampton,73279.0,432.0,184795.0,170890.0,127573.0,32.3,5062.0,8.4,2.1,2.4,85.9,1.1,31.3,4.1,64.7,9.2,South East,22.4,26.9
Southampton,73279.0,432.0,184795.0,170890.0,127573.0,32.3,5062.0,8.4,2.1,2.4,85.9,1.1,31.3,4.1,64.7,9.2,South East,22.4,26.9
Wiltshire,129086.0,821.0,421660.0,402767.0,337386.0,44.9,154.0,1.3,0.7,1.2,96.6,0.2,32.7,2.8,64.4,13.0,South West,19.3,13.4
Wiltshire,129086.0,821.0,421660.0,402767.0,337386.0,44.9,154.0,1.3,0.7,1.2,96.6,0.2,32.7,2.8,64.4,13.0,South West,19.3,13.4
Wiltshire,129086.0,821.0,421660.0,402767.0,337386.0,44.9,154.0,1.3,0.7,1.2,96.6,0.2,32.7,2.8,64.4,13.0,South West,19.3,13.4
Wiltshire,129086.0,821.0,421660.0,402767.0,337386.0,44.9,154.0,1.3,0.7,1.2,96.6,0.2,32.7,2.8,64.4,13.0,South West,19.3,13.4
Manchester,181190.0,1270.0,388615.0,352968.0,234615.0,30.1,4781.0,17.1,8.6,4.6,66.6,3.1,33.4,5.6,59.3,5.7,North West,25.4,40.0
Manchester,181190.0,1270.0,388615.0,352968.0,234615.0,30.1,4781.0,17.1,8.6,4.6,66.6,3.1,33.4,5.6,59.3,5.7,North West,25.4,40.0
Manchester,181190.0,1270.0,388615.0,352968.0,234615.0,30.1,4781.0,17.1,8.6,4.6,66.6,3.1,33.4,5.6,59.3,5.7,North West,25.4,40.0
Manchester,181190.0,1270.0,388615.0,352968.0,234615.0,30.1,4781.0,17.1,8.6,4.6,66.6,3.1,33.4,5.6,59.3,5.7,North West,25.4,40.0
Walsall,86408.0,1024.0,205011.0,191028.0,137099.0,38.2,2746.0,15.2,2.4,2.7,78.9,0.8,35.8,5.4,63.9,9.3,West Midlands,26.6,31.6
Walsall,86408.0,1024.0,205011.0,191028.0,137099.0,38.2,2746.0,15.2,2.4,2.7,78.9,0.8,35.8,5.4,63.9,9.3,West Midlands,26.6,31.6
Walsall,86408.0,1024.0,205011.0,191028.0,137099.0,38.2,2746.0,15.2,2.4,2.7,78.9,0.8,35.8,5.4,63.9,9.3,West Midlands,26.6,31.6
Walsall,86408.0,1024.0,205011.0,191028.0,137099.0,38.2,2746.0,15.2,2.4,2.7,78.9,0.8,35.8,5.4,63.9,9.3,West Midlands,26.6,31.6
Camden,64914.0,330.0,178805.0,161079.0,116953.0,34.0,12393.0,16.1,8.2,5.6,66.3,3.8,25.3,4.1,53.8,15.8,London,18.4,20.1
Camden,64914.0,330.0,178805.0,161079.0,116953.0,34.0,12393.0,16.1,8.2,5.6,66.3,3.8,25.3,4.1,53.8,15.8,London,18.4,20.1
Camden,64914.0,330.0,178805.0,161079.0,116953.0,34.0,12393.0,16.1,8.2,5.6,66.3,3.8,25.3,4.1,53.8,15.8,London,18.4,20.1
Camden,64914.0,330.0,178805.0,161079.0,116953.0,34.0,12393.0,16.1,8.2,5.6,66.3,3.8,25.3,4.1,53.8,15.8,London,18.4,20.1
